station_id,tile_id,country,river,station,latitude,longitude,area,reference.db,reference.no,metadata_country,metadata_river,metadata_station,metadata_latitude,metadata_longitude,metadata_area,characteristics_quality,characteristics_latitude,characteristics_longitude,characteristics_area_est,characteristics_dist_km,metadata_joined,characteristics_joined,catchment_shapefile_exists,point_geometry_available,basin_geometry_available,geometry_readiness,geometry_source
us_0005732,N35_W100,US,DEEP FORK,"NEAR ARCADIA, OK",35.64727889,-97.3600365,105.0,usgs,7242350,US,DEEP FORK,"NEAR ARCADIA, OK",35.64727889,-97.3600365,105.0,High,35.6479,-97.3604,263.8748,0.0764,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005733,N35_W100,US,DEEP FORK,"AT WARWICK, OK",35.68089589,-97.0083615,527.0,usgs,7242380,US,DEEP FORK,"AT WARWICK, OK",35.68089589,-97.0083615,527.0,High,35.6812,-97.0104,1364.636,0.1871,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005734,N35_W100,US,DRY CREEK,"NEAR KENDRICK, OK",35.78200855,-96.8541915,69.0,usgs,7243000,US,DRY CREEK,"NEAR KENDRICK, OK",35.78200855,-96.8541915,69.0,High,35.7812,-96.8521,175.7381,0.2089,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005735,N35_W100,US,DEEP FORK,"NEAR BEGGS, OK",35.6739876,-96.0686077,2004.0,usgs,7243500,US,DEEP FORK,"NEAR BEGGS, OK",35.6739876,-96.0686077,2004.0,High,35.6771,-96.0688,5175.088,0.3463,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005736,N35_W100,US,CANADIAN RIVER,"NEAR WHITEFIELD, OK",35.26231927,-95.2371891,39149.0,usgs,7245000,US,CANADIAN RIVER,"NEAR WHITEFIELD, OK",35.26231927,-95.2371891,39149.0,Low,35.2646,-95.2396,122842.1,0.3348,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005831,N35_W100,US,NORTH FORK RED RIVER,"NEAR CARTER, OK",35.16810838,-99.5073128,2073.0,usgs,7301500,US,NORTH FORK RED RIVER,"NEAR CARTER, OK",35.16810838,-99.5073128,2073.0,Low,35.1646,-99.5104,6814.683,0.4803,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005858,N35_W100,US,WASHITA RIVER,"NEAR CHEYENNE, OK",35.62643705,-99.6684386,763.0,usgs,7316500,US,WASHITA RIVER,"NEAR CHEYENNE, OK",35.62643705,-99.6684386,763.0,High,35.6271,-99.6688,1953.529,0.0806,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005862,N35_W100,US,WASHITA RIVER,"NEAR HAMMON, OK",35.65643696,-99.3062086,1355.0,usgs,7324200,US,WASHITA RIVER,"NEAR HAMMON, OK",35.65643696,-99.3062086,1355.0,High,35.6604,-99.3021,3475.139,0.5758,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005863,N35_W100,US,WASHITA RIVER,"NEAR FOSS, OK",35.5389379,-99.1698128,1514.0,usgs,7324400,US,WASHITA RIVER,"NEAR FOSS, OK",35.5389379,-99.1698128,1514.0,High,35.5396,-99.1688,3895.511,0.1175,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005864,N35_W100,US,WASHITA RIVER,"NEAR CLINTON, OK",35.5308832,-98.9670296,1949.0,usgs,7325000,US,WASHITA RIVER,"NEAR CLINTON, OK",35.5308832,-98.9670296,1949.0,High,35.5312,-98.9688,5023.021,0.1639,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005865,N35_W100,US,WASHITA RIVER,"AT CARNEGIE, OK",35.11728108,-98.5639503,3104.0,usgs,7325500,US,WASHITA RIVER,"AT CARNEGIE, OK",35.11728108,-98.5639503,3104.0,High,35.1187,-98.5646,8092.414,0.1684,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
us_0005866,N35_W100,US,COBB CREEK,"NEAR EAKLY, OK",35.2906111,-98.5942308,132.0,usgs,7325800,US,COBB CREEK,"NEAR EAKLY, OK",35.2906111,-98.5942308,132.0,High,35.2896,-98.5938,343.6972,0.119,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
