response_definition,slice_type,slice_name,control_family,q_level,target_probability,lambda_threshold_discount,support_integrity_status,tiles,rows,high_flow_events,bootstrap_draws_requested,bootstrap_draws_valid,lambda_bootstrap_p05,lambda_bootstrap_p50,lambda_bootstrap_p95,lambda_positive_share,ci_status
mean_daily_mean_dis24,era,1981-1994,raw_state,0.8,0.05,-0.0082644628099173,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.8,0.1,-0.0082644628099173,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.8,0.15,-0.0082644628099173,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.85,0.05,-0.0082644628099173,support_ok,130,19890,3391,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.85,0.1,-0.0082644628099173,support_ok,130,19890,3391,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.85,0.15,0.2747933884297521,support_ok,130,19890,3391,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.9,0.05,-0.0082644628099173,support_ok,130,19890,2309,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.9,0.1,0.3305785123966942,support_ok,130,19890,2309,100,100,0.2064049586776859,0.3254132231404959,0.3859524793388429,1.0,ci_built
mean_daily_mean_dis24,era,1981-1994,raw_state,0.9,0.15,0.6363636363636364,support_ok,130,19890,2309,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.925,0.05,-0.0082644628099173,support_ok,130,19890,1766,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.925,0.1,0.5454545454545454,support_ok,130,19890,1766,100,100,0.4707448347107438,0.5258264462809917,0.6323347107438017,1.0,ci_built
mean_daily_mean_dis24,era,1981-1994,raw_state,0.925,0.15,0.8264462809917356,support_ok,130,19890,1766,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.95,0.05,0.3388429752066115,support_ok,130,19890,1190,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.95,0.1,0.8161157024793388,support_ok,130,19890,1190,100,100,0.7162469008264463,0.8254132231404959,0.9134039256198347,1.0,ci_built
mean_daily_mean_dis24,era,1981-1994,raw_state,0.95,0.15,0.9545454545454546,support_ok,130,19890,1190,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.975,0.05,0.8367768595041323,support_ok,130,19890,611,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,raw_state,0.975,0.1,,invalid_lambda,130,19890,611,100,31,,,,,ci_support_limited
mean_daily_mean_dis24,era,1981-1994,raw_state,0.975,0.15,,invalid_lambda,130,19890,611,100,0,,,,,ci_not_run_by_scope
