null_family,draw,statistic,value
source_block_target_permutation,42,lag_family_full_r2,0.43779528427751835
lag_covariance_surrogate_features,42,lag_family_full_r2,0.21510397246076296
within_source_target_permutation,42,xi_star_r2,0.07003589427081602
within_source_target_permutation,43,lag_family_full_r2,0.5677078629532537
source_block_target_permutation,43,lag_family_full_r2,0.38816138049947924
lag_covariance_surrogate_features,43,lag_family_full_r2,0.0619341107250585
within_source_target_permutation,43,xi_star_r2,0.0003121733043239816
within_source_target_permutation,44,lag_family_full_r2,0.49206115439233644
source_block_target_permutation,44,lag_family_full_r2,0.3157972358637974
lag_covariance_surrogate_features,44,lag_family_full_r2,0.05952349430388715
within_source_target_permutation,44,xi_star_r2,0.014571473107111377
within_source_target_permutation,45,lag_family_full_r2,0.6786619615400054
source_block_target_permutation,45,lag_family_full_r2,0.4592667802660928
lag_covariance_surrogate_features,45,lag_family_full_r2,0.21021074369013315
within_source_target_permutation,45,xi_star_r2,0.07677511508911372
within_source_target_permutation,46,lag_family_full_r2,0.492873421195422
source_block_target_permutation,46,lag_family_full_r2,0.3022681862360248
lag_covariance_surrogate_features,46,lag_family_full_r2,0.13803745698281622
within_source_target_permutation,46,xi_star_r2,0.02704224714707537
within_source_target_permutation,47,lag_family_full_r2,0.4584852536129944
source_block_target_permutation,47,lag_family_full_r2,0.3183186298748274
lag_covariance_surrogate_features,47,lag_family_full_r2,0.14403561343558002
within_source_target_permutation,47,xi_star_r2,0.12258171783773975
within_source_target_permutation,48,lag_family_full_r2,0.5134903413154088
source_block_target_permutation,48,lag_family_full_r2,0.4323096117813997
lag_covariance_surrogate_features,48,lag_family_full_r2,0.3131727576692226
within_source_target_permutation,48,xi_star_r2,0.0018223240427512888
within_source_target_permutation,49,lag_family_full_r2,0.4809269155374667
source_block_target_permutation,49,lag_family_full_r2,0.7549425530431766
lag_covariance_surrogate_features,49,lag_family_full_r2,0.28923693739363165
within_source_target_permutation,49,xi_star_r2,0.005949968520116977
within_source_target_permutation,50,lag_family_full_r2,0.5395346710355795
source_block_target_permutation,50,lag_family_full_r2,0.5138143206630152
lag_covariance_surrogate_features,50,lag_family_full_r2,0.2812107226553334
within_source_target_permutation,50,xi_star_r2,0.0005360791775215201
within_source_target_permutation,51,lag_family_full_r2,0.4442913807309683
source_block_target_permutation,51,lag_family_full_r2,0.40399191785418365
lag_covariance_surrogate_features,51,lag_family_full_r2,0.12414714716083564
within_source_target_permutation,51,xi_star_r2,0.03592466460842292
within_source_target_permutation,52,lag_family_full_r2,0.53030711827433
source_block_target_permutation,52,lag_family_full_r2,0.2616137672072283
