station_id,tile_id,country,river,station,latitude,longitude,catchment_area_km2,point_geometry_available,polygon_geometry_available,geometry_readiness
1160630,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,KOONAPRIVIER,ADELAIDE (27673102),-32.7135,26.29608611,1245.0,True,False,station_point_only
1160650,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,MTAMVUNA,GUNDRIFT (27663201),-30.73419444,29.82869444,728.0,True,False,station_point_only
1160660,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,GQUNUBE,OUTSPAN (27672101),-32.80191667,27.85533333,509.0,True,False,station_point_only
1160675,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,TOISE RIVER,FORKROAD (27711203),-32.51627778,27.52377778,216.0,True,False,station_point_only
1160680,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,MZIMKULU,FP 1609030 THE BANKS (27663104),-29.77713889,29.47083333,545.0,True,False,station_point_only
1160690,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,SWART-KEIRIVIER,CATHCARTS GIFT (27711504),-32.05030556,26.78980556,1414.0,True,False,station_point_only
1160695,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,TSOMO,WYK MADUMA,-32.04430556,27.82238889,2359.0,True,False,station_point_only
1160700,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,UMKHOMAZI,LOT93.1821 CAMDEN (27662505),-29.74369444,29.90494444,1744.0,True,False,station_point_only
1160704,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,MLAZI,UMLAAS,-29.80394558,30.51587147,417.0,True,False,station_point_only
1160705,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,LOVU,BEAULIEU ESTATE (27661907),-29.86244444,30.24416667,115.0,True,False,station_point_only
1160709,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,MLAZI,NOOITGEDACHT (27662002),-29.749,30.317,104.0,True,False,station_point_only
1160710,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,IMPOFANA,WELTEVREDEN (27662407),-29.44258333,30.14852778,353.0,True,False,station_point_only
